original_column_name,column_name,column_description,data_format,value_description
critn_yyymm,creation yyymm,created year and month explained as 6 yyyymm digits,text,
fact_nm,factory name,name of factory,text,
line_cd,line code,grouped process line code,text,
line_nm,line name,grouped process line name,text,
plant_nm,plant name,name of plant,text,
work_time,work time,period of time when the plant is operated,integer,
downtime,downtime,preriod of time when the plant is unavailable or not operational,integer,
breakdown_time,breakdown time,period of breakdown time of the plant,integer,
idle_time,idle time,idle time which means a period of time when an asset or employee is available but not being productive,integer,
work_qty,work quantity,production quantity,integer,
defect_qty,defect quantity,defect quantity,integer,
breakdown_cnt,breakdown count,frequency of breakdown,integer,
idle_cnt,idle count,frequency of idle time,integer,
total_standard_time,total standard time,total period of production,integer,
availability_rate,availability rate,"ratio of work time which is calculated with this formula, work_time / nullif(work_time + downtime, 0) * 100 ",real,
performance_rate,performance rate,"ratio of perfomance time which is calculated with this formula, total_standard_time / nullif(work_time, 0) * 100",real,
quality_rate,quality rate,"ratio of non-defective products which is calculated with this formula, (work_qty - defect_qty) / nullif(work_qty, 0) * 100",real,
idle_rate,idle rate,"ratio of idle time which is calculated with this formula, idle_time / nullif(work_time + downtime + idle_time, 0) * 100",real,
breakdown_rate,breakdown rate,"ratio of breakdown time which is calculated with this formula, breakdown_time / nullif(work_time + downtime, 0) * 100",real,
mtbf,Mean Time Between Failures,"mean time between failures which represents facility reliability. Calculated with this formula, work_time / nullif(breakdown_cnt, 0)",real,
mttr,Mean Time To Repair,"mean time to repair which represents maintenance of equipment. Calculated with this formula, round(breakdown_time / nullif(breakdown_cnt, 0), 0)",real,
reg_id,registration id,account id who registrated this data,text,
reg_dts,registration datetimes,datetime when this data is registrated,text,
